area,col,degenerate.empty,dr.win_drop_digit,dr.win_drop_exact,dr.win_drop_vtrac,dr.win_exact,dr.win_family_exact,dr.win_family_vtrac,dr.win_final_value,dr.win_step_drop_exact,dr.win_step_drop_vtrac,dr.win_step_exact,dr.win_step_family_exact,dr.win_step_family_vtrac,dr.win_step_vtrac,dr.win_variant,dr.win_vtrac,dr.win_vtrac_local_index,draw,final.canon3,final.len_is1,final.len_is2,final.len_is3,final.value,final_3canon,method,method.agree_count,methods.core_agreement,methods.early_fraction,mode,mode.agree_core,mode.len_delta_abs,mode.only_one,mode.time_to3_delta_abs,perm.count,perm.density,post3_span,pre.core3_hint,pre.mirror_pair,pre.orig_unique,score,sec.consensus_any,sec.consensus_strong,sec.pairwise_jaccard,sec.time_to3_max,sec.time_to3_min,section,sequence.steps_kept,sequence.steps_total,set,set.linger,set.memory_strength,set.repeat_new_box,stability.order_cue,stability.survival_frac3,state,tail.exact_len3,tail.final_len,tail.final_unique,tail.unique2,tail.wobble,terminal.is_3value,terminal.len,terminal.len_is1,terminal.len_is2,terminal.len_is3,terminal.unique,terminal.unique_1,terminal.unique_2,time_to_3,time_to_3_fast,traj.early_terminal,traj.first3,traj.reduction_slope,traj.time_to_3,vtrac.hot_source,vtrac.set,vtrac.v_hot,xcol.agree_count
LS1,5,1,,0,0,0,0,0,,-1,-1,-1,-1,-1,0,Combined,1,-1,Draw1,,0,0,0,,,A,4,4,0.8333333333333334,combined,1,0,0,1,0.0,0.0,6.0,0,1,7,100.0,0,0,0.15,3,1,Combined,10,10,Set3,0,0,0,0.25,0.42857142857142855,Connecticut4,1,0,0,1,1,0,0,0,0,0,0,0,0,3,1,1,3,1.1111111111111112,3,derived_from_DR,,0.0,0
LS1,5,1,,0,0,0,0,0,,-1,-1,-1,-1,-1,0,Combined,1,-1,Draw1,,0,0,0,,,B,3,3,0.8333333333333334,own,1,0,0,1,0.0,0.0,3.0,0,1,7,100.0,0,0,0.15,2,1,Combined,6,6,Set3,0,0,0,0.25,0.42857142857142855,Connecticut4,1,0,0,1,0,0,0,0,0,0,0,0,0,2,1,1,2,2.0,2,derived_from_DR,,0.0,0
LS1,5,1,,0,0,0,0,0,,-1,-1,-1,-1,-1,0,Combined,1,-1,Draw1,,0,0,0,,,B,4,4,0.8333333333333334,combined,1,0,0,1,0.0,0.0,6.0,0,1,7,100.0,0,0,0.15,3,1,Combined,9,10,Set3,0,0,0,0.25,0.42857142857142855,Connecticut4,1,0,0,1,0,0,0,0,0,0,0,0,0,3,1,1,3,1.25,3,derived_from_DR,,0.0,0
LS1,5,1,,0,0,0,0,0,,-1,-1,-1,-1,-1,0,Combined,1,-1,Draw1,,0,0,0,,,C,3,3,0.8333333333333334,own,1,0,0,1,0.0,0.0,3.0,0,1,7,100.0,0,0,0.0,2,1,Combined,6,6,Set3,0,0,0,0.3333333333333333,0.2857142857142857,Connecticut4,0,0,0,1,1,0,0,0,0,0,0,0,0,2,1,1,2,2.0,2,derived_from_DR,,0.0,0
LS1,5,1,,0,0,0,0,0,,-1,-1,-1,-1,-1,0,Combined,1,-1,Draw1,,0,0,0,,,C,4,4,0.8333333333333334,combined,1,0,0,1,0.0,0.0,6.0,0,1,7,100.0,0,0,0.0,3,1,Combined,8,10,Set3,0,0,0,0.3333333333333333,0.2857142857142857,Connecticut4,0,0,0,1,1,0,0,0,0,0,0,0,0,3,1,1,3,1.4285714285714286,3,derived_from_DR,,0.0,0
LS1,5,1,,0,0,0,0,0,,-1,-1,-1,-1,-1,0,Combined,1,-1,Draw1,,0,0,0,,,D,3,3,0.8333333333333334,own,1,0,0,1,0.0,0.0,3.0,0,1,7,100.0,0,0,0.16666666666666666,2,1,Combined,6,6,Set3,0,0,0,0.3333333333333333,0.2857142857142857,Connecticut4,0,0,0,1,1,0,0,0,0,0,0,0,0,2,1,1,2,2.0,2,derived_from_DR,,0.0,0
LS1,5,1,,0,0,0,0,0,,-1,-1,-1,-1,-1,0,Combined,1,-1,Draw1,,0,0,0,,,D,4,4,0.8333333333333334,combined,1,0,0,1,0.0,0.0,6.0,0,1,7,100.0,0,0,0.16666666666666666,3,1,Combined,8,10,Set3,0,0,0,0.3333333333333333,0.2857142857142857,Connecticut4,0,0,0,1,1,0,0,0,0,0,0,0,0,3,1,1,3,1.4285714285714286,3,derived_from_DR,,0.0,0
LS1,5,1,,0,0,0,0,0,,-1,-1,-1,-1,-1,0,Combined,1,-1,Draw1,,0,0,0,,,E,3,3,0.8333333333333334,own,0,0,0,0,0.0,0.0,3.0,0,1,7,97.26190476190474,0,0,0.0,4,2,Combined,8,8,Set3,0,0,0,0.3333333333333333,0.2857142857142857,Connecticut4,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,4,1.4285714285714286,4,derived_from_DR,,0.0,0
LS1,5,1,,0,0,0,0,0,,-1,-1,-1,-1,-1,0,Combined,1,-1,Draw1,,0,0,0,,,E,4,4,0.8333333333333334,combined,0,0,0,0,0.0,0.0,5.0,0,1,7,100.0,0,0,0.13333333333333333,4,2,Combined,10,10,Set3,0,0,0,0.25,0.42857142857142855,Connecticut4,1,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,4,1.1111111111111112,4,derived_from_DR,,0.0,0
LS1,5,1,,0,0,0,0,0,,-1,-1,-1,-1,-1,0,Combined,1,-1,Draw1,,0,0,0,,,T,3,3,0.8333333333333334,own,1,0,0,1,0.0,0.0,3.0,0,1,7,100.0,0,0,0.15,2,1,Combined,6,6,Set3,0,0,0,0.25,0.42857142857142855,Connecticut4,1,0,0,1,0,0,0,0,0,0,0,0,0,2,1,1,2,2.0,2,derived_from_DR,,0.0,0
LS1,5,1,,0,0,0,0,0,,-1,-1,-1,-1,-1,0,Combined,1,-1,Draw1,,0,0,0,,,T,4,4,0.8333333333333334,combined,1,0,0,1,0.0,0.0,6.0,0,1,7,100.0,0,0,0.15,3,1,Combined,10,10,Set3,0,0,0,0.25,0.42857142857142855,Connecticut4,1,0,0,1,1,0,0,0,0,0,0,0,0,3,1,1,3,1.1111111111111112,3,derived_from_DR,,0.0,0
LS1,7,1,,0,0,0,0,0,,-1,-1,-1,-1,-1,0,Combined,1,-1,Draw1,,0,0,0,,,A,5,5,0.8333333333333334,own,1,0,0,2,0.0,0.0,3.0,0,1,8,100.0,0,0,0.13333333333333333,3,2,Combined,7,7,Set2,0,0,0,0.25,0.375,Connecticut4,1,0,0,1,0,0,0,0,0,0,0,0,0,3,1,1,3,2.1666666666666665,3,derived_from_DR,,0.0,0
LS1,7,1,,0,0,0,0,0,,-1,-1,-1,-1,-1,0,Combined,1,-1,Draw1,,0,0,0,,,A,6,6,0.3333333333333333,combined,1,0,0,2,0.0,0.0,6.0,0,1,8,100.0,0,0,0.13333333333333333,5,2,Combined,12,12,Set2,0,0,0,0.25,0.375,Connecticut4,1,0,0,1,1,0,0,0,0,0,0,0,0,5,0,0,5,1.1818181818181819,5,derived_from_DR,,0.0,0
LS1,7,1,,0,0,0,0,0,,-1,-1,-1,-1,-1,0,Combined,1,-1,Draw1,,0,0,0,,,B,5,5,0.8333333333333334,own,1,0,0,1,0.0,0.0,2.0,0,1,8,100.0,0,0,0.0,3,2,Combined,6,6,Set2,0,0,0,0.3333333333333333,0.375,Connecticut4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,3,2.6,3,derived_from_DR,,0.0,0
LS1,7,1,,0,0,0,0,0,,-1,-1,-1,-1,-1,0,Combined,1,-1,Draw1,,0,0,0,,,B,6,6,0.3333333333333333,combined,1,0,0,1,0.0,0.0,5.0,0,1,8,100.0,0,0,0.13333333333333333,4,2,Combined,10,10,Set2,0,0,0,0.3333333333333333,0.375,Connecticut4,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,4,1.4444444444444444,4,derived_from_DR,,0.0,0
LS1,7,1,,0,0,0,0,0,,-1,-1,-1,-1,-1,0,Combined,1,-1,Draw1,,0,0,0,,,C,5,5,0.8333333333333334,own,1,0,0,1,0.0,0.0,3.0,0,1,8,100.0,0,0,0.2333333333333333,2,1,Combined,6,6,Set2,0,0,0,0.3333333333333333,0.375,Connecticut4,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,1,2,2.6,2,derived_from_DR,,0.0,0
LS1,7,1,,0,0,0,0,0,,-1,-1,-1,-1,-1,0,Combined,1,-1,Draw1,,0,0,0,,,C,6,6,0.3333333333333333,combined,1,0,0,1,0.0,0.0,6.0,0,1,8,100.0,0,0,0.2333333333333333,3,1,Combined,10,10,Set2,0,0,0,0.3333333333333333,0.375,Connecticut4,0,0,0,0,3,0,0,0,0,0,0,0,0,3,1,1,3,1.4444444444444444,3,derived_from_DR,,0.0,0
LS1,7,1,,0,0,0,0,0,,-1,-1,-1,-1,-1,0,Combined,1,-1,Draw1,,0,0,0,,,D,5,5,0.8333333333333334,own,1,0,0,1,0.0,0.0,2.0,0,1,8,100.0,0,0,0.0,3,2,Combined,6,6,Set2,0,0,0,0.3333333333333333,0.375,Connecticut4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,3,2.6,3,derived_from_DR,,0.0,0
LS1,7,1,,0,0,0,0,0,,-1,-1,-1,-1,-1,0,Combined,1,-1,Draw1,,0,0,0,,,D,6,6,0.3333333333333333,combined,1,0,0,1,0.0,0.0,5.0,0,1,8,100.0,0,0,0.2222222222222222,4,2,Combined,10,10,Set2,0,0,0,0.3333333333333333,0.375,Connecticut4,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,4,1.4444444444444444,4,derived_from_DR,,0.0,0
LS1,7,1,,0,0,0,0,0,,-1,-1,-1,-1,-1,0,Combined,1,-1,Draw1,,0,0,0,,,E,5,5,0.8333333333333334,own,0,0,0,2,0.0,0.0,7.0,0,1,8,100.0,0,0,0.3,4,4,Combined,11,12,Set2,0,0,0,0.2,0.375,Connecticut4,1,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,4,1.3,4,derived_from_DR,,0.0,1
LS1,7,1,,0,0,0,0,0,,-1,-1,-1,-1,-1,0,Combined,1,-1,Draw1,,0,0,0,,,E,6,6,0.3333333333333333,combined,0,0,0,2,0.0,0.0,4.0,0,1,8,100.0,0,0,0.08333333333333333,6,4,Combined,11,11,Set2,0,0,0,0.25,0.375,Connecticut4,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,1.3,6,derived_from_DR,,0.0,0
LS1,7,1,,0,0,0,0,0,,-1,-1,-1,-1,-1,0,Combined,1,-1,Draw1,,0,0,0,,,T,5,5,0.8333333333333334,own,1,0,0,1,0.0,0.0,4.0,0,1,8,100.0,0,0,0.2333333333333333,2,1,Combined,7,7,Set2,0,0,0,0.25,0.375,Connecticut4,1,0,0,1,1,0,0,0,0,0,0,0,0,2,1,1,2,2.1666666666666665,2,derived_from_DR,,0.0,0
LS1,7,1,,0,0,0,0,0,,-1,-1,-1,-1,-1,0,Combined,1,-1,Draw1,,0,0,0,,,T,6,6,0.3333333333333333,combined,1,0,0,1,0.0,0.0,8.0,0,1,8,100.0,0,0,0.2333333333333333,3,1,Combined,12,12,Set2,0,0,0,0.25,0.375,Connecticut4,1,0,0,1,3,0,0,0,0,0,0,0,0,3,1,1,3,1.1818181818181819,3,derived_from_DR,,0.0,0
LS1,6,1,,0,0,0,0,0,,-1,-1,-1,-1,-1,0,Combined,1,-1,Draw1,,0,0,0,,,A,2,2,0.8333333333333334,own,1,0,0,1,0.0,0.0,3.0,0,1,7,100.0,0,0,0.06666666666666667,2,1,Combined,6,6,Set2,0,0,0,0.25,0.42857142857142855,Connecticut4,1,0,0,1,0,0,0,0,0,0,0,0,0,2,1,1,2,2.4,2,derived_from_DR,,0.0,0
LS1,6,1,,0,0,0,0,0,,-1,-1,-1,-1,-1,0,Combined,1,-1,Draw1,,0,0,0,,,A,3,3,0.8333333333333334,combined,1,0,0,1,0.0,0.0,6.0,0,1,7,100.0,0,0,0.13333333333333333,3,1,Combined,10,10,Set2,0,0,0,0.25,0.42857142857142855,Connecticut4,1,0,0,1,1,0,0,0,0,0,0,0,0,3,1,1,3,1.3333333333333333,3,derived_from_DR,,0.0,0
LS1,6,1,,0,0,0,0,0,,-1,-1,-1,-1,-1,0,Combined,1,-1,Draw1,,0,0,0,,,B,2,2,0.8333333333333334,own,1,0,0,1,0.0,0.0,3.0,0,1,7,100.0,0,0,0.06666666666666667,2,1,Combined,6,6,Set2,0,0,0,0.25,0.42857142857142855,Connecticut4,1,0,0,1,0,0,0,0,0,0,0,0,0,2,1,1,2,2.4,2,derived_from_DR,,0.0,0
LS1,6,1,,0,0,0,0,0,,-1,-1,-1,-1,-1,0,Combined,1,-1,Draw1,,0,0,0,,,B,3,3,0.8333333333333334,combined,1,0,0,1,0.0,0.0,6.0,0,1,7,100.0,0,0,0.08333333333333333,3,1,Combined,9,10,Set2,0,0,0,0.25,0.42857142857142855,Connecticut4,1,0,0,1,0,0,0,0,0,0,0,0,0,3,1,1,3,1.5,3,derived_from_DR,,0.0,0
LS1,6,1,,0,0,0,0,0,,-1,-1,-1,-1,-1,0,Combined,1,-1,Draw1,,0,0,0,,,C,2,2,0.8333333333333334,own,1,0,0,1,0.0,0.0,3.0,0,1,7,100.0,0,0,0.0,2,1,Combined,6,6,Set2,0,0,0,0.3333333333333333,0.2857142857142857,Connecticut4,1,0,0,1,1,0,0,0,0,0,0,0,0,2,1,1,2,2.4,2,derived_from_DR,,0.0,0
LS1,6,1,,0,0,0,0,0,,-1,-1,-1,-1,-1,0,Combined,1,-1,Draw1,,0,0,0,,,C,3,3,0.8333333333333334,combined,1,0,0,1,0.0,0.0,6.0,0,1,7,100.0,0,0,0.0,3,1,Combined,8,10,Set2,0,0,0,0.3333333333333333,0.2857142857142857,Connecticut4,1,0,0,1,1,0,0,0,0,0,0,0,0,3,1,1,3,1.7142857142857142,3,derived_from_DR,,0.0,0
LS1,6,1,,0,0,0,0,0,,-1,-1,-1,-1,-1,0,Combined,1,-1,Draw1,,0,0,0,,,D,2,2,0.8333333333333334,own,1,0,0,1,0.0,0.0,3.0,0,1,7,100.0,0,0,0.08333333333333333,2,1,Combined,6,6,Set2,0,0,0,0.25,0.42857142857142855,Connecticut4,1,0,0,1,0,0,0,0,0,0,0,0,0,2,1,1,2,2.4,2,derived_from_DR,,0.0,0
LS1,6,1,,0,0,0,0,0,,-1,-1,-1,-1,-1,0,Combined,1,-1,Draw1,,0,0,0,,,D,3,3,0.8333333333333334,combined,1,0,0,1,0.0,0.0,6.0,0,1,7,100.0,0,0,0.08333333333333333,3,1,Combined,9,10,Set2,0,0,0,0.25,0.42857142857142855,Connecticut4,1,0,0,1,0,0,0,0,0,0,0,0,0,3,1,1,3,1.5,3,derived_from_DR,,0.0,0
LS1,6,1,,0,0,0,0,0,,-1,-1,-1,-1,-1,0,Combined,1,-1,Draw1,,0,0,0,,,E,2,2,0.8333333333333334,own,0,0,0,0,0.0,0.0,7.0,0,1,7,95.54761904761904,0,0,0.06666666666666667,4,3,Combined,11,12,Set2,0,0,0,0.2,0.42857142857142855,Connecticut4,1,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,4,1.2,4,derived_from_DR,,0.0,1
LS1,6,1,,0,0,0,0,0,,-1,-1,-1,-1,-1,0,Combined,1,-1,Draw1,,0,0,0,,,E,3,3,0.8333333333333334,combined,0,0,0,0,0.0,0.0,6.0,0,1,7,100.0,0,0,0.06666666666666667,4,3,Combined,11,11,Set2,0,0,0,0.16666666666666666,0.42857142857142855,Connecticut4,1,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,4,1.2,4,derived_from_DR,,0.0,0
LS1,6,1,,0,0,0,0,0,,-1,-1,-1,-1,-1,0,Combined,1,-1,Draw1,,0,0,0,,,T,2,2,0.8333333333333334,own,1,0,0,1,0.0,0.0,3.0,0,1,7,100.0,0,0,0.1111111111111111,2,1,Combined,6,6,Set2,0,0,0,0.3333333333333333,0.2857142857142857,Connecticut4,1,0,0,1,1,0,0,0,0,0,0,0,0,2,1,1,2,2.4,2,derived_from_DR,,0.0,0
LS1,6,1,,0,0,0,0,0,,-1,-1,-1,-1,-1,0,Combined,1,-1,Draw1,,0,0,0,,,T,3,3,0.8333333333333334,combined,1,0,0,1,0.0,0.0,6.0,0,1,7,100.0,0,0,0.1111111111111111,3,1,Combined,8,10,Set2,0,0,0,0.3333333333333333,0.2857142857142857,Connecticut4,1,0,0,1,1,0,0,0,0,0,0,0,0,3,1,1,3,1.7142857142857142,3,derived_from_DR,,0.0,0
LS1,5,1,,0,0,0,0,0,,-1,-1,-1,-1,-1,0,Combined,1,-1,Draw1,,0,0,0,,,A,3,3,1.0,own,1,0,0,1,0.0,0.0,3.0,0,1,7,100.0,0,0,0.06666666666666667,2,1,Combined,6,6,Set2,0,0,0,0.25,0.42857142857142855,Connecticut4,1,0,0,1,0,0,0,0,0,0,0,0,0,2,1,1,2,2.0,2,derived_from_DR,,0.0,0
LS1,5,1,,0,0,0,0,0,,-1,-1,-1,-1,-1,0,Combined,1,-1,Draw1,,0,0,0,,,A,3,3,0.8333333333333334,combined,1,0,0,1,0.0,0.0,6.0,0,1,7,100.0,0,0,0.15,3,1,Combined,10,10,Set2,0,0,0,0.25,0.42857142857142855,Connecticut4,1,0,0,1,1,0,0,0,0,0,0,0,0,3,1,1,3,1.1111111111111112,3,derived_from_DR,,0.0,0
LS1,5,1,,0,0,0,0,0,,-1,-1,-1,-1,-1,0,Combined,1,-1,Draw1,,0,0,0,,,B,3,3,1.0,own,1,0,0,1,0.0,0.0,3.0,0,1,7,100.0,0,0,0.06666666666666667,2,1,Combined,6,6,Set2,0,0,0,0.25,0.42857142857142855,Connecticut4,1,0,0,1,0,0,0,0,0,0,0,0,0,2,1,1,2,2.0,2,derived_from_DR,,0.0,0
LS1,5,1,,0,0,0,0,0,,-1,-1,-1,-1,-1,0,Combined,1,-1,Draw1,,0,0,0,,,B,3,3,0.8333333333333334,combined,1,0,0,1,0.0,0.0,6.0,0,1,7,100.0,0,0,0.08333333333333333,3,1,Combined,9,10,Set2,0,0,0,0.25,0.42857142857142855,Connecticut4,1,0,0,1,0,0,0,0,0,0,0,0,0,3,1,1,3,1.25,3,derived_from_DR,,0.0,0
LS1,5,1,,0,0,0,0,0,,-1,-1,-1,-1,-1,0,Combined,1,-1,Draw1,,0,0,0,,,C,3,3,1.0,own,1,0,0,1,0.0,0.0,3.0,0,1,7,100.0,0,0,0.0,2,1,Combined,6,6,Set2,0,0,0,0.3333333333333333,0.2857142857142857,Connecticut4,1,0,0,1,1,0,0,0,0,0,0,0,0,2,1,1,2,2.0,2,derived_from_DR,,0.0,0
LS1,5,1,,0,0,0,0,0,,-1,-1,-1,-1,-1,0,Combined,1,-1,Draw1,,0,0,0,,,C,3,3,0.8333333333333334,combined,1,0,0,1,0.0,0.0,6.0,0,1,7,100.0,0,0,0.0,3,1,Combined,8,10,Set2,0,0,0,0.3333333333333333,0.2857142857142857,Connecticut4,1,0,0,1,1,0,0,0,0,0,0,0,0,3,1,1,3,1.4285714285714286,3,derived_from_DR,,0.0,0
LS1,5,1,,0,0,0,0,0,,-1,-1,-1,-1,-1,0,Combined,1,-1,Draw1,,0,0,0,,,D,3,3,1.0,own,1,0,0,1,0.0,0.0,3.0,0,1,7,100.0,0,0,0.16666666666666666,2,1,Combined,6,6,Set2,0,0,0,0.3333333333333333,0.2857142857142857,Connecticut4,1,0,0,1,1,0,0,0,0,0,0,0,0,2,1,1,2,2.0,2,derived_from_DR,,0.0,0
LS1,5,1,,0,0,0,0,0,,-1,-1,-1,-1,-1,0,Combined,1,-1,Draw1,,0,0,0,,,D,3,3,0.8333333333333334,combined,1,0,0,1,0.0,0.0,6.0,0,1,7,100.0,0,0,0.16666666666666666,3,1,Combined,8,10,Set2,0,0,0,0.3333333333333333,0.2857142857142857,Connecticut4,1,0,0,1,1,0,0,0,0,0,0,0,0,3,1,1,3,1.4285714285714286,3,derived_from_DR,,0.0,0
LS1,5,1,,0,0,0,0,0,,-1,-1,-1,-1,-1,0,Combined,1,-1,Draw1,,0,0,0,,,E,3,3,1.0,own,0,0,0,1,0.0,0.0,5.0,0,1,7,100.0,0,0,0.08333333333333333,3,2,Combined,9,9,Set2,0,0,0,0.2,0.42857142857142855,Connecticut4,1,0,0,1,0,0,0,0,0,0,0,0,0,3,1,1,3,1.25,3,derived_from_DR,,0.0,1
LS1,5,1,,0,0,0,0,0,,-1,-1,-1,-1,-1,0,Combined,1,-1,Draw1,,0,0,0,,,E,3,3,0.8333333333333334,combined,0,0,0,1,0.0,0.0,6.0,0,1,7,100.0,0,0,0.06666666666666667,4,2,Combined,11,11,Set2,0,0,0,0.2,0.42857142857142855,Connecticut4,1,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,4,1.0,4,derived_from_DR,,0.0,0
LS1,5,1,,0,0,0,0,0,,-1,-1,-1,-1,-1,0,Combined,1,-1,Draw1,,0,0,0,,,T,3,3,1.0,own,1,0,0,1,0.0,0.0,3.0,0,1,7,100.0,0,0,0.16666666666666666,2,1,Combined,6,6,Set2,0,0,0,0.3333333333333333,0.2857142857142857,Connecticut4,1,0,0,1,1,0,0,0,0,0,0,0,0,2,1,1,2,2.0,2,derived_from_DR,,0.0,0
LS1,5,1,,0,0,0,0,0,,-1,-1,-1,-1,-1,0,Combined,1,-1,Draw1,,0,0,0,,,T,3,3,0.8333333333333334,combined,1,0,0,1,0.0,0.0,6.0,0,1,7,100.0,0,0,0.16666666666666666,3,1,Combined,8,10,Set2,0,0,0,0.3333333333333333,0.2857142857142857,Connecticut4,1,0,0,1,1,0,0,0,0,0,0,0,0,3,1,1,3,1.4285714285714286,3,derived_from_DR,,0.0,0
LS1,7,1,,0,0,0,0,0,,-1,-1,-1,-1,-1,0,Combined,1,-1,Draw1,,0,0,0,,,A,5,5,0.8333333333333334,own,1,0,0,2,0.0,0.0,3.0,0,1,8,100.0,0,0,0.13333333333333333,3,3,Combined,7,7,Set1,0,0,0,0.25,0.375,Connecticut4,1,0,0,1,0,0,0,0,0,0,0,0,0,3,1,1,3,2.1666666666666665,3,derived_from_DR,,0.0,0
LS1,7,1,,0,0,0,0,0,,-1,-1,-1,-1,-1,0,Combined,1,-1,Draw1,,0,0,0,,,A,6,6,0.3333333333333333,combined,1,0,0,2,0.0,0.0,6.0,0,1,8,100.0,0,0,0.2333333333333333,5,2,Combined,12,12,Set1,0,0,0,0.25,0.375,Connecticut4,1,0,0,1,1,0,0,0,0,0,0,0,0,5,0,0,5,1.1818181818181819,5,derived_from_DR,,0.0,0
LS1,7,1,,0,0,0,0,0,,-1,-1,-1,-1,-1,0,Combined,1,-1,Draw1,,0,0,0,,,B,5,5,0.8333333333333334,own,1,0,0,1,0.0,0.0,2.0,0,1,8,100.0,0,0,0.13333333333333333,3,2,Combined,6,6,Set1,0,0,0,0.3333333333333333,0.375,Connecticut4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,3,2.6,3,derived_from_DR,,0.0,0
LS1,7,1,,0,0,0,0,0,,-1,-1,-1,-1,-1,0,Combined,1,-1,Draw1,,0,0,0,,,B,6,6,0.3333333333333333,combined,1,0,0,1,0.0,0.0,5.0,0,1,8,100.0,0,0,0.2333333333333333,4,2,Combined,10,10,Set1,0,0,0,0.3333333333333333,0.375,Connecticut4,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,4,1.4444444444444444,4,derived_from_DR,,0.0,0
LS1,7,1,,0,0,0,0,0,,-1,-1,-1,-1,-1,0,Combined,1,-1,Draw1,,0,0,0,,,C,5,5,0.8333333333333334,own,1,0,0,1,0.0,0.0,3.0,0,1,8,100.0,0,0,0.08333333333333333,2,1,Combined,6,6,Set1,0,0,0,0.3333333333333333,0.375,Connecticut4,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,1,2,2.6,2,derived_from_DR,,0.0,0
LS1,7,1,,0,0,0,0,0,,-1,-1,-1,-1,-1,0,Combined,1,-1,Draw1,,0,0,0,,,C,6,6,0.3333333333333333,combined,1,0,0,1,0.0,0.0,6.0,0,1,8,100.0,0,0,0.16666666666666666,3,1,Combined,10,10,Set1,0,0,0,0.3333333333333333,0.375,Connecticut4,0,0,0,0,3,0,0,0,0,0,0,0,0,3,1,1,3,1.4444444444444444,3,derived_from_DR,,0.0,0
LS1,7,1,,0,0,0,0,0,,-1,-1,-1,-1,-1,0,Combined,1,-1,Draw1,,0,0,0,,,D,5,5,0.8333333333333334,own,1,0,0,1,0.0,0.0,2.0,0,1,8,100.0,0,0,0.08333333333333333,3,2,Combined,6,6,Set1,0,0,0,0.3333333333333333,0.375,Connecticut4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,3,2.6,3,derived_from_DR,,0.0,0
LS1,7,1,,0,0,0,0,0,,-1,-1,-1,-1,-1,0,Combined,1,-1,Draw1,,0,0,0,,,D,6,6,0.3333333333333333,combined,1,0,0,1,0.0,0.0,5.0,0,1,8,100.0,0,0,0.19444444444444442,4,2,Combined,10,10,Set1,0,0,0,0.3333333333333333,0.375,Connecticut4,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,4,1.4444444444444444,4,derived_from_DR,,0.0,0
LS1,7,1,,0,0,0,0,0,,-1,-1,-1,-1,-1,0,Combined,1,-1,Draw1,,0,0,0,,,E,5,5,0.8333333333333334,own,0,0,0,2,0.0,0.0,7.0,0,1,8,100.0,0,0,0.19444444444444442,5,4,Combined,11,12,Set1,0,0,0,0.2,0.375,Connecticut4,1,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,4,1.3,4,derived_from_DR,,0.0,0
LS1,7,1,,0,0,0,0,0,,-1,-1,-1,-1,-1,0,Combined,1,-1,Draw1,,0,0,0,,,E,6,6,0.3333333333333333,combined,0,0,0,2,0.0,0.0,4.0,0,1,8,100.0,0,0,0.15,6,4,Combined,11,11,Set1,0,0,0,0.25,0.375,Connecticut4,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,1.3,6,derived_from_DR,,0.0,0
LS1,7,1,,0,0,0,0,0,,-1,-1,-1,-1,-1,0,Combined,1,-1,Draw1,,0,0,0,,,T,5,5,0.8333333333333334,own,1,0,0,1,0.0,0.0,4.0,0,1,8,100.0,0,0,0.08333333333333333,2,1,Combined,7,7,Set1,0,0,0,0.25,0.375,Connecticut4,1,0,0,1,1,0,0,0,0,0,0,0,0,2,1,1,2,2.1666666666666665,2,derived_from_DR,,0.0,0
LS1,7,1,,0,0,0,0,0,,-1,-1,-1,-1,-1,0,Combined,1,-1,Draw1,,0,0,0,,,T,6,6,0.3333333333333333,combined,1,0,0,1,0.0,0.0,8.0,0,1,8,100.0,0,0,0.1111111111111111,3,1,Combined,12,12,Set1,0,0,0,0.25,0.375,Connecticut4,1,0,0,1,3,0,0,0,0,0,0,0,0,3,1,1,3,1.1818181818181819,3,derived_from_DR,,0.0,0
LS1,6,1,,0,0,0,0,0,,-1,-1,-1,-1,-1,0,Combined,1,-1,Draw1,,0,0,0,,,A,3,3,1.0,own,1,0,0,1,0.0,0.0,3.0,0,1,7,100.0,0,0,0.13333333333333333,3,1,Combined,6,6,Set1,0,0,0,0.25,0.42857142857142855,Connecticut4,1,0,0,1,0,0,0,0,0,0,0,0,0,2,1,1,2,2.0,2,derived_from_DR,,0.0,0
LS1,6,1,,0,0,0,0,0,,-1,-1,-1,-1,-1,0,Combined,1,-1,Draw1,,0,0,0,,,A,3,3,0.8333333333333334,combined,1,0,0,1,0.0,0.0,6.0,0,1,7,100.0,0,0,0.13333333333333333,3,1,Combined,10,10,Set1,0,0,0,0.25,0.42857142857142855,Connecticut4,1,0,0,1,1,0,0,0,0,0,0,0,0,3,1,1,3,1.1111111111111112,3,derived_from_DR,,0.0,0
